order_id,reseller_id,category,product_name,quantity,unit_price,order_date,month,status
ORD00001,RS003,Western Wear,Western Wear Item 748,1,690.03,2026-04-09,April,Returned
ORD00002,RS015,Kids Wear,Kids Wear Item 644,1,881.53,2026-04-18,April,Delivered
ORD00003,RS020,Beauty & Personal Care,Beauty & Personal Care Item 234,1,384.06,2026-04-03,April,Delivered
ORD00004,RS010,Beauty & Personal Care,Beauty & Personal Care Item 651,3,704.96,2026-04-13,April,Delivered
ORD00005,RS012,Ethnic Wear,Ethnic Wear Item 664,2,789.8,2026-04-23,April,Cancelled
ORD00006,RS003,Kids Wear,Kids Wear Item 277,2,360.24,2026-04-06,April,Delivered
ORD00007,RS021,Home & Kitchen,Home & Kitchen Item 235,1,594.31,2026-04-25,April,Returned
ORD00008,RS002,Home & Kitchen,Home & Kitchen Item 898,1,921.1,2026-04-30,April,Cancelled
ORD00009,RS023,Western Wear,Western Wear Item 147,1,971.67,2026-04-30,April,Delivered
ORD00010,RS009,Ethnic Wear,Ethnic Wear Item 920,1,1218.49,2026-04-24,April,Delivered
ORD00011,RS019,Western Wear,Western Wear Item 774,4,557.35,2026-04-17,April,Delivered
ORD00012,RS002,Beauty & Personal Care,Beauty & Personal Care Item 66,1,248.35,2026-04-22,April,Delivered
ORD00013,RS013,Western Wear,Western Wear Item 12,1,1295.32,2026-04-18,April,Cancelled
ORD00014,RS022,Home & Kitchen,Home & Kitchen Item 349,1,1426.08,2026-04-09,April,Returned
ORD00015,RS004,Western Wear,Western Wear Item 270,1,499.25,2026-04-24,April,Cancelled
ORD00016,RS017,Home & Kitchen,Home & Kitchen Item 655,1,1112.83,2026-04-21,April,Delivered
ORD00017,RS017,Kids Wear,Kids Wear Item 945,2,348.35,2026-04-18,April,Pending
ORD00018,RS017,Beauty & Personal Care,Beauty & Personal Care Item 900,1,538.31,2026-04-04,April,Cancelled
ORD00019,RS010,Western Wear,Western Wear Item 498,2,577.83,2026-04-03,April,Delivered
ORD00020,RS003,Beauty & Personal Care,Beauty & Personal Care Item 563,1,495.26,2026-04-22,April,Delivered
ORD00021,RS006,Western Wear,Western Wear Item 774,1,1177.81,2026-04-07,April,Cancelled
ORD00022,RS023,Western Wear,Western Wear Item 922,4,645.13,2026-04-21,April,Delivered
ORD00023,RS017,Kids Wear,Kids Wear Item 236,1,410.14,2026-04-01,April,Delivered
ORD00024,RS019,Western Wear,Western Wear Item 33,2,416.44,2026-04-08,April,Delivered
ORD00025,RS011,Ethnic Wear,Ethnic Wear Item 741,2,660.81,2026-04-07,April,Delivered
ORD00026,RS019,Kids Wear,Kids Wear Item 100,1,406.95,2026-04-14,April,Delivered
ORD00027,RS022,Western Wear,Western Wear Item 670,1,751.4,2026-04-24,April,Delivered
ORD00028,RS021,Ethnic Wear,Ethnic Wear Item 197,1,841.88,2026-04-28,April,Delivered
ORD00029,RS007,Kids Wear,Kids Wear Item 946,1,340.12,2026-04-15,April,Delivered
ORD00030,RS003,Kids Wear,Kids Wear Item 554,2,808.88,2026-04-02,April,Delivered
ORD00031,RS001,Beauty & Personal Care,Beauty & Personal Care Item 493,3,751.14,2026-04-06,April,Delivered
ORD00032,RS007,Beauty & Personal Care,Beauty & Personal Care Item 272,1,735.59,2026-04-01,April,Pending
ORD00033,RS015,Western Wear,Western Wear Item 736,2,1010.76,2026-04-26,April,Delivered
ORD00034,RS016,Ethnic Wear,Ethnic Wear Item 63,4,725.38,2026-04-19,April,Returned
ORD00035,RS011,Ethnic Wear,Ethnic Wear Item 59,1,1041.6,2026-04-28,April,Delivered
ORD00036,RS017,Ethnic Wear,Ethnic Wear Item 414,2,603.41,2026-04-22,April,Cancelled
ORD00037,RS004,Beauty & Personal Care,Beauty & Personal Care Item 430,2,519.29,2026-04-02,April,Delivered
ORD00038,RS022,Kids Wear,Kids Wear Item 322,4,588.81,2026-04-07,April,Delivered
ORD00039,RS008,Western Wear,Western Wear Item 770,2,473.33,2026-04-15,April,Delivered
ORD00040,RS003,Ethnic Wear,Ethnic Wear Item 219,2,1082.28,2026-04-04,April,Delivered
ORD00041,RS017,Western Wear,Western Wear Item 292,3,1235.6,2026-04-29,April,Delivered
ORD00042,RS006,Western Wear,Western Wear Item 9,1,865.06,2026-04-26,April,Delivered
ORD00043,RS022,Home & Kitchen,Home & Kitchen Item 119,2,737.88,2026-04-29,April,Delivered
ORD00044,RS004,Home & Kitchen,Home & Kitchen Item 209,1,478.81,2026-04-07,April,Returned
ORD00045,RS022,Kids Wear,Kids Wear Item 53,1,420.59,2026-04-29,April,Cancelled
ORD00046,RS003,Kids Wear,Kids Wear Item 653,1,788.08,2026-04-11,April,Returned
ORD00047,RS009,Ethnic Wear,Ethnic Wear Item 78,2,885.02,2026-04-18,April,Delivered
ORD00048,RS023,Beauty & Personal Care,Beauty & Personal Care Item 441,3,503.63,2026-04-19,April,Delivered
ORD00049,RS005,Ethnic Wear,Ethnic Wear Item 367,4,800.12,2026-04-28,April,Delivered
ORD00050,RS007,Home & Kitchen,Home & Kitchen Item 417,1,1399.48,2026-04-18,April,Cancelled
ORD00051,RS020,Home & Kitchen,Home & Kitchen Item 831,1,1865.37,2026-04-06,April,Pending
ORD00052,RS006,Beauty & Personal Care,Beauty & Personal Care Item 422,2,165.11,2026-04-11,April,Returned
ORD00053,RS022,Beauty & Personal Care,Beauty & Personal Care Item 392,1,675.99,2026-04-26,April,Returned
ORD00054,RS002,Beauty & Personal Care,Beauty & Personal Care Item 841,3,293.58,2026-04-15,April,Delivered
ORD00055,RS008,Western Wear,Western Wear Item 991,1,976.03,2026-04-09,April,Cancelled
ORD00056,RS009,Western Wear,Western Wear Item 962,2,832.94,2026-04-27,April,Delivered
ORD00057,RS001,Ethnic Wear,Ethnic Wear Item 611,1,1466.44,2026-04-09,April,Delivered
ORD00058,RS014,Western Wear,Western Wear Item 922,1,1096.11,2026-04-17,April,Delivered
ORD00059,RS019,Ethnic Wear,Ethnic Wear Item 552,1,447.83,2026-04-17,April,Cancelled
ORD00060,RS022,Home & Kitchen,Home & Kitchen Item 972,2,1534.51,2026-04-12,April,Delivered
ORD00061,RS022,Beauty & Personal Care,Beauty & Personal Care Item 308,2,554.05,2026-04-04,April,Returned
