month,category,revenue,n_orders
April,Beauty & Personal Care,40737.01,49
April,Ethnic Wear,104520.77,64
April,Home & Kitchen,100446.23,53
April,Kids Wear,59847.27,55
April,Western Wear,113866.15,79
June,Beauty & Personal Care,37559.07,52
June,Ethnic Wear,76371.53,52
June,Home & Kitchen,129971.22,73
June,Kids Wear,56737.78,57
June,Western Wear,97415.64,66
May,Beauty & Personal Care,35542.11,41
May,Ethnic Wear,185107.61,104
May,Home & Kitchen,91152.57,44
May,Kids Wear,45793.78,47
May,Western Wear,86998.18,64
